"Source","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","ID"
"Tactical Shot Follow-Up","Tactical Shot","PHY","Single enemy","Physical","2.00","Ice, NE","0.01","Four single ranged attacks (0.50 each), 100% hit rate, 100% additional critical chance if Kiros or Ward are alive","Y","Lowest HP% enemy","0","Machinist","31540342"
"Heartless Sorceress Mode","Dark Manafrost","BLK","Single enemy","Magical","7.86","Ice, Dark, NE","0.01","Six single attacks (1.31 each), grants [Quick Cast 1] to all allies","Y","Lowest HP% enemy","0","Witch","31540344"
"Glacial Curse Follow-Up","Glacial Curse","BLK","Single enemy","Magical","7.92","Ice, NE","0.01","Six single attacks (1.32 each)","Y","Lowest HP% enemy","0","Witch","31540348"
"Vivifying Step Follow-Up","Vivifying Step","NAT","All allies","","","","0.01","Restores HP (25), grants [Quick Cast 1] every second cast","Y","All allies","0","Dancer","31540347"
"Oikaze Follow-Up","Oikaze","BLK","Single enemy","Magical","6.44","Wind, NE","0.01","Randomly deals four (33%), five (34%) or six (33%) single attacks (1.61 each)","Y","Lowest HP% enemy","0","Black Magic","31540490"
"Time Compression Mode","Relentless Blades","BLK","Single enemy","Magical","16.40","Dark, NE","0.01","One single attack (16.40) capped at 99999, removes [Time Compression Mode] from the user","Y","Lowest HP% enemy","0","Black Magic","31540732"
"Unerring Pikes Follow-Up","Unerring Pikes","BLK","Single enemy","Magical","7.92","Dark, NE","0.01","Six single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31540737"
"Duel 4S Mode","FB Meteor Barret","PHY","Single enemy","Physical","6.00","Fire, NE","0.01","One single attack (6.00) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540858"
"Duel 6S Mode","Meteor Strike Z","PHY","Single enemy","Physical","3.52","Fire, NE","0.01","One single attack (3.52) capped at 99999, 100% hit rate, grants [High Quick Cast 1] to the user","Y","Lowest HP% enemy","0","Monk","31540859"
"Duel 6S Mode","FB Meteor Barret","PHY","Single enemy","Physical","6.00","Fire, NE","0.01","One single attack (6.00) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540858"
"Duel 9S Mode","Mach Kick","PHY","Single enemy","Physical","3.90","Fire, NE","0.01","Ten single attacks (0.39 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540860"
"Duel 9S Mode","FB Meteor Barret","PHY","Single enemy","Physical","6.00","Fire, NE","0.01","One single attack (6.00) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540858"
"Dark Ammo Shot Follow-Up","Dark Ammo Shot","PHY","Single enemy","Physical","2.00","Fire, NE","0.01","Four single ranged attacks (0.50 each), 100% hit rate, causes [ATK and DEF -50% (8s)]/[MAG and RES -50% (8s)] every 1+2n/2+2n uses","Y","Lowest HP% enemy","0","Sharpshooter","31540862"
"Awoken Lion","Draw & Stock","PHY","Single enemy","Physical","3.94","Ice, Fire, NE","0.01","One single attack (3.94) capped at 99999, 100% hit rate, grants [Buff Ice 10% (15s)] and [Buff Fire 10% (15s)] to the user","Y","Lowest HP% enemy","0","Spellblade","31540915"
"Awoken Comet","Binary Star","BLK","Single enemy","Magical","14.46","Ice, Earth, NE","0.01","Six single attacks (2.41 each)","Y","Lowest HP% enemy","0","Black Magic","31541314"
"Dual Awoken Sorceress's Knight Mode II (Seifer)","Dual Fire Cross","PHY","Single enemy","Physical","2.92","Dark, Fire, NE","0.01","Four single attacks (0.73 each), 100% hit rate","Y","Lowest HP% enemy","0","Darkness","31541420"
"Dual Awoken Lightning Mode I (Raijin)","Dual Sparkhammer","PHY","Single enemy","Physical","2.00","Lightning, NE","0.01","Four single attack (0.50 each), 100% hit rate, causes [DEF, RES and MND -70% (8s)]","Y","Lowest HP% enemy","0","Monk","31541523"
"Awoken Ebonice Sorceress","Cold Curse","BLK","Single enemy","Magical","14.46","Ice, Dark, NE","0.01","Six single attacks (2.41 each)","Y","Lowest HP% enemy","0","Black Magic","31541677"
"Sorceress of Hatred Mode","Sorceress's Protection","NAT","All allies","","","","0.01","Grants [40% Damage Reduction Barrier 1], grants [30% Buff Dark (15s)] every third cast","N","All allies","0","Black Magic","31541670"
"Dual Awoken Wind Mode II (Fujin)","Dual Wind Dance (Black Magic)","BLK","Single enemy","Magical","11.88","Wind, NE","0.01","Six single attacks (1.98 each), grants [Black Magic Quick Cast 1] to the user","Y","Lowest HP% enemy","0","Black Magic","31541660"
"Dual Awoken Wind Mode II (Fujin)","Dual Wind Dance (Ninja)","NIN","Single enemy","Magical","18.64","Wind, NE","0.01","One single attack (18.64), ignores RES, grants [Buff Wind 10% (15s)] to all allies, grants [Quick Cast 1] to all allies in the character's row","Y","Lowest HP% enemy","0","Ninja","31541661"
"Caring Friend Mode","Trabia's Gift","WHT","Single enemy","Magical","-","","0.01","Deals 99999 WHT damage, grants [40% Damage Reduction Barrier 1] to the lowest HP% ally","Y","Lowest HP% enemy","0","White Magic","31541674"
"Dual Awoken Monk Mode I (Zell)","Dual Heat Punch","PHY","Single enemy","Physical","5.81","Fire, NE","0.01","One single attack (4.76/5.27/5.81) capped at 99999 if the user dealt 0/72001/240001+ damage while under [Dual Awoken Monk Mode I (Zell)], 100% hit rate, grants [100% Critical 3] to the user","Y","Lowest HP% enemy","0","Monk","31541684"
"Dual Awoken Instructor Mode I (Quistis - Poison)","Dual Poison Fragrance","BLK","Single enemy","Magical","8.45","Poison, NE","0.01","Five single attacks (1.53/1.61/1.69 each) scaling with uses","Y","Lowest HP% enemy","0","Black Magic","31541723"
"Dual Awoken Ice Mode I (Squall)","Dual Renzokuken Ice Rend","PHY","Single enemy","Physical","2.13","Ice, NE","0.01","Three single attacks (0.64/0.67/0.71 each) if the user has Lion's Teachings level 0/1/2, 0%/50%/100% additional critical chanceif the user has Lion's Teachings level 0/1/2, grants Lion's Teachings +1 to the user, 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","31541838"
"Chain Force Mode (Squall)","Bond Guidance: Squall","PHY","Single enemy","Physical","2.05","Ice, NE","0.01","One single attack (1.95/2.05) capped at 99999, 100% hit rate, grants [Ice Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Spellblade","31541855"
"Dual Awoken Ice Mode I (Rinoa)","Dual Ice Apocalypse","BLK","Single enemy","Magical","14.75","Ice, NE","0.01","Five single attacks (2.67/2.95 each) if not exploiting/exploiting Ice weakness","Y","Lowest HP% enemy","0","Black Magic","31541840"
"Chain Force Mode (Rinoa)","Bond Guidance: Rinoa","BLK","Single enemy","Magical","5.28","Ice, NE","0.01","Four single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31541856"
"Awoken Laguna Aide","Pain Thrust","PHY","Single enemy","Physical","4.26","Dark, Ice, NE","0.01","Six single attacks (0.71 each), 100% hit rate","Y","Lowest HP% enemy","0","Ninja","31542209"
"Dual Awoken Laguna Freak Mode II (Ward)","Dual Anchor Crash","PHY","Single enemy","Physical","2.57","Water, Ice, Earth, NE","0.01","One single ranged attack (2.57) capped at 99999, 100% hit rate, grants [Critical Damage +50% 2], [Critical Damage +20% 2] and [Quick Cast 2] to the user, Laguna and Kiros if Laguna and Kiros are alive, grants [Critical Damage +20% 2] to the user if 0-1 of Laguna and Kiros are alive","Y","Lowest HP% enemy","0","Dragoon","31542204"
"EX: Master Thief","Steel Storm","PHY","Single enemy","Physical","1.20","Wind, NE","0.01","One single attack (1.20), 35% chance to cause [Imperil Wind 10%] for 15 seconds","Y","Lowest HP% enemy","0","Thief","30511913"
"Freya Trance","Undying Love","PHY","Single enemy","Physical","1.11","Wind, NE","0.01","Three single ranged attacks (0.37 each), 100% hit rate","Y","Lowest HP% enemy","0","Dragoon","30528012"
"EX: Black Mage","Memories of Me","BLK","Single enemy","Magical","7.68","Ice, Water, Lightning, NE","0.01","Six single attacks (1.28 each)","Y","Lowest HP% enemy","0","Black Magic","30541227"
"Pluto Knight Triblade Follow-Up","Pluto Knight Triblade","PHY","Single enemy","Physical","1.86","Fire, Lightning, Ice, NE","0.01","Six single attacks (0.31 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547115"
"Summon's Cure Follow-Up","Summon's Cure","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","Y","All allies","0","White Magic","30543110"
"Stock Raid Follow-Up","Stock Raid","PHY","Single enemy","Physical","2.04","Holy, NE","0.01","2/3/4/5/6 single attacks (0.34 each) at rank 1/2/3/4/5 of the triggering ability, 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548041"
"Swift Poison Follow-Up","Swift Poison","PHY","Single enemy","Physical","1.76","Wind, Poison, NE","0.01","Four single attacks (0.44 each), 100% hit rate","Y","Lowest HP% enemy","0","Thief","30548030"
"Divine Roar Follow-Up","Divine Roar","SUM","Single enemy","Magical","15.60","Lightning, NE","0.01","Ten single attacks (1.56 each), Summoning smart ether 1 to the user","N","Lowest HP% enemy","0","Summoning","30543032"
"Awoken Chant","Thunder Encore","SUM","Single enemy","Magical","16.62","Lightning, NE","0.01","Six single attacks (2.77 each), causes [Imperil Lightning 10%] for 15 seconds","N","Lowest HP% enemy","0","Summoning","30543035"
"Valkyrie Mode","Cross Break","PHY","Single enemy","Physical","6.00","Holy, NE","0.01","One single attack (6.00) capped at 99999, 50/75/100% additional critical chance if the user dealt 0/72001/240001 damage during the status, 100% hit rate, removes [Valkyrie Mode] from the user","Y","Lowest HP% enemy","0","Knight","30548446"
"Gold Frog Follow-Up","Frog Stomp","PHY","All enemies","Physical","4.44","Water, Earth, Poison, NE","0.01","One single ranged attack (4.44) capped at 99999","Y","All enemies","0","Support","30545114"
"Princess's Resolve Mode","Thundercloud Strike","SUM","Single enemy","Magical","16.40","Lightning, NE","0.01","One single attack (16.40) capped at 99999","N","Lowest HP% enemy","0","Summoning","31540057"
"Heart to Heart Mode","Time Permitted","NAT","Self","","","","0.01","Grants [Fire Ability +20% Boost 1] and [Dualcast Fire 1]/[Fire Ability +30% Boost 1] and [Triplecast Fire 1]/[Fire Ability +50% Boost 1], [Quadcast Fire 1] and [Damage Cap +10000 1]/[Fire Ability +70% Boost 1], [Quintcast Fire 1] and [Damage Cap +10000 1] at Time Permitted level 1/2/3/4","N","Self","0","Special","31540243"
"Grim Reaper Mode","Grim Reaper","NAT","Self","","","","0.01","Grants [Dark +15% Boost 1]/[Dark +30% Boost 1]/[Dark +50% Boost 1] if the user has 0/500/1000+ SB points","N","Self","0","Special","31540385"
"Dark Charge Follow-Up","Dark Charge","BLK","Single enemy","Magical","8.16","Dark, NE","0.01","Four single attacks (2.04 each)","Y","Lowest HP% enemy","0","Darkness","31540389"
"Honest Heart Follow-Up","Honest Heart (Lightning)","NAT","All enemies","","","","0.01","Causes [Imperil Lightning 10% (15s)]","N","Lowest HP% enemy","0","Summoning","31540579"
"Honest Heart Follow-Up","Honest Heart (Holy)","NAT","All enemies","","","","0.01","Causes [Imperil Holy 10% (15s)]","N","Lowest HP% enemy","0","Summoning","31540586"
"Eye for an Eye Mode","Merciless Counter","PHY","Single enemy","Physical","4.45","Fire, NE","0.01","One single attack (4.45), ignores DEF, 100% hit rate, grants [HP Stock (1000)] to all allies, grants [10% Damage Reduction Barrier 1] to the user","N","Lowest HP% enemy","0","Monk","31540642"
"Awoken Power Throw","Flaming Spare Change","PHY","Single enemy","Physical","4.32","Fire, NE","0.01","Six single ranged attacks (0.72 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540644"
"Poison Trick (IX) Follow-Up","Poison Trick (IX)","NAT","Single enemy","","","","0.01","Causes [Imperil Wind 10% (15s)] and [Imperil Poison 10% (15s)], grants [Buff Wind 10% (15s)] and [Buff Poison 10% (15s)] to the user","N","Lowest HP% enemy","0","Thief","31540646"
"Awoken Dragon","Trance Lancer","PHY","Single enemy","Physical","4.53","Wind, NE","0.01","Three single ranged attacks (1.51 each), restores 1000 HP to all allies every second activation","Y","Lowest HP% enemy","0","Dragoon","31540795"
"Six Dragon Hunt Follow-Up","Six Dragon Hunt","PHY","Single enemy","Physical","4.02","Wind, NE","0.01","Six single ranged attacks (0.67 each), causes [Debuff Earth 10% (15s)]","Y","Lowest HP% enemy","0","Dragoon","31540787"
"Knightslayer Follow-Up","Knightslayer","PHY","Single enemy","Physical","2.00","Holy, NE","0.01","2/4 single attacks (0.57/0.50 each) if Steiner isn't/is alive, 0%/100% additional critical chance if Steiner isn't/is alive, grants [Quick Cast 1] to the user","Y","Lowest HP% enemy","0","Knight","31541257"
"Emerald Gleam Follow-Up","Emerald Gleam","WHT","All allies","","","","0.01","Restores 1000 HP","N","All allies","0","Summoning","31541249"
"Dual Awoken Chant Mode II (Garnet - Lightning)","Dual Light of Protection","NAT","All allies","","","","0.01","Restores 2000 HP, grants [40% Damage Reduction Barrier 1]","N","All allies","0","Bard","31541346"
"Balefire Pyre Mode","Dual Crash Firaga","BLK","Single enemy","Magical","8.46","Fire, NE","0.01","One single attack (8.46) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","31541596"
"Treasure Rush Follow-Up","Treasure Rush","PHY","Single enemy","Physical","2.56","Wind, NE","0.01","8/12/16 single attacks (0.32 each) after 1+3n/2+3n/3+3n uses, 100% hit rate","Y","Lowest HP% enemy","0","Thief","31541754"
"Chain Force Mode (Kuja)","Dark Guidance: Kuja","BLK","Single enemy","Magical","7.92","Dark, NE","0.01","Six single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31541857"
"Awoken Reaper","Dark Divider","BLK","Single enemy","Magical","14.64","Dark, NE","0.01","Six single attacks (2.44 each), grants [Darkness +30% Boost 1] to the user every second cast","Y","Lowest HP% enemy","0","Black Magic","31541858"
"Chain Force Mode (Vivi)","Flame Guidance: Vivi","BLK","Single enemy","Magical","8.20","Fire, NE","0.01","One single attack (7.80/8.20) capped at 99999 scaling with uses, grants [Fire Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","31541846"
"Dual Awoken Kindred Mode I (Eiko)","Dual Terra Storm","SUM","Single enemy","Magical","8.16","Wind, Holy, NE","0.01","Four single attacks (2.04 each), grants [Quick Cast 1] to the user","N","Lowest HP% enemy","0","Summoning","31542065"
"Dual Awoken Kindred Mode II (Eiko)","Dual Light Cure","WHT","All allies","","","","0.01","Restores HP (55), grants [Quick Cast 1]","N","Lowest HP% enemy","0","White Magic","31542066"
"Chain Force Mode (Amarant)","Flame Guidance: Amarant","PHY","Single enemy","Physical","1.92","Fire, NE","0.01","Six single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","31542073"
"Dual Awoken Spellblade Mode II (Steiner)","Dual Loyal Spellblade","PHY","Single enemy","Physical","2.57","Fire, Ice, Lightning, NE","0.01","One single attack (2.57) capped at 99999, causes [DEF, RES and MND -70% (8s)] if 0-3 FF9 allies are alive, grants [ATK, DEF, MAG and RES +30% (8s)] to all allies if 4+ FF9 allies are alive","Y","Lowest HP% enemy","0","Spellblade","31542067"
"Awoken Sword Art Rush","Spellblade Rush","PHY","Single enemy","Physical","4.20","Fire, Ice, Lightning, NE","0.01","Six single attacks (0.70 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","31542076"
"Chain Force Mode (Steiner)","Bond Guidance: Steiner","PHY","Single enemy","Physical","1.99","Fire, Ice, Lightning, NE","0.01","One single attack (1.89/1.99) capped at 99999, grants [Fire/Ice/Lightning Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Spellblade","31542072"
"EX: Ace","Run & Shoot","PHY","Single enemy","Physical","1.92","Water, NE","0.01","Six single ranged attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Sharpshooter","30511912"
"Ace Shot Follow-Up","Ace Shot","PHY","Single enemy","Physical","5.28","Water, NE","0.01","One single ranged attack (5.28) capped at 99999","Y","Lowest HP% enemy","0","Sharpshooter","30549079"
"EX: Last Summoner","Sonic Ray","SUM","Single enemy","Magical","7.70","Holy, Wind, NE","0.01","Five single attacks (1.54 each), minimum damage 1100","N","Lowest HP% enemy","0","Summoning","30543084"
"Fury Follow-Up","Fury Follow-Up","BLK","Single enemy","Magical","2.70","Ice, Water, NE","0.01","Five single attacks (0.54/0.83/1.12/1.42/1.73 each) at rank 1/2/3/4/5 of the triggering ability","Y","Lowest HP% enemy","0","Black Magic","30541221"
"Aqua Toxin Follow-Up","Aqua Toxin","PHY","Single enemy","Physical","1.20","Water, NE","0.01","Two single attacks (0.60 each), 35% chance to cause [Imperil Water 10%] for 15 seconds","Y","Lowest HP% enemy","0","Machinist","30549054"
"Beast Rush Follow-Up","Beast Rush","PHY","Single enemy","Physical","1.92","Fire, NE","0.01","Six single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","30548026"
"Beast Stream","Beast Stream","PHY","Single enemy","Physical","1.92","Dark, Fire, NE","0.01","Six single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Darkness","30549663"
"Savage Follow-Up","Savage Follow-Up","BLK","Single enemy","Magical","8.52","Dark, NE","0.01","2/3/4/5/6 single attacks (1.42 each) at rank 1/2/3/4/5 of the triggering ability","Y","Lowest HP% enemy","0","Black Magic","30541171"
"Broken Commandment Follow-Up","Broken Commandment","PHY","Single enemy","Physical","5.28","Fire, NE","0.01","One single attack (5.28) capped at 99999, causes [DEF, RES and MND -70%] for 8 seconds","Y","Lowest HP% enemy","0","Samurai","30549215"
"Freezing Water Follow-Up","Freezing Water","BLK","Single enemy","Magical","12.08","Ice, Water, NE","0.01","Eight single attacks (1.51 each)","Y","Lowest HP% enemy","0","Black Magic","30541323"
"Awoken Kindred","Friendship Crystal","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (10/15/25/35/45) at rank 1/2/3/4/5 of the triggering ability, damages undead","N","All allies","0","White Magic","30542718"
"Direct Volley Follow-Up","Direct Volley","PHY","Single enemy","Physical","2.88","Water, NE","0.01","Six single ranged attacks (0.48 each)","Y","Lowest HP% enemy","0","Sharpshooter","30549176"
"Dark Perfection Mode","Execution Shot (Dark)","PHY","Single enemy","Physical","1.95","Dark, NE","0.01","Five single ranged attacks (0.39 each), 100% hit rate","Y","Lowest HP% enemy","0","Sharpshooter","30549274"
"Fire Perfection Mode","Execution Shot (Fire)","PHY","Single enemy","Physical","1.95","Fire, NE","0.01","Five single ranged attacks (0.39 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","30549275"
"Forbidden Incantation Follow-Up","Forbidden Incantation","NAT","All enemies","","","","0.01","Causes [Imperil Dark 10% (15s)], removes positive effects","Y","All enemies","0","Darkness","30549860"
"Crimson Wildfire Follow-Up","Crimson Wildfire","SUM","Single enemy","Magical","16.62","Fire, NE","0.01","Six single attacks (2.77 each), grants [Buff Fire 10% (15s)] to all allies","N","Lowest HP% enemy","0","Summoning","30543011"
"Innocent Prism Follow-Up","Innocent Prism","SUM","Single enemy","Magical","11.00","Holy, Wind, NE","0.01","One single attack (11.00) capped at 99999","N","Lowest HP% enemy","0","Summoning","31540130"
"Awoken Whistle","Practiced Smile","WHT","All allies","","","","0.01","Restores HP (10/15/25/35/45) at rank 1/2/3/4/5 of the triggering ability","N","All allies","0","White Magic","31540135"
"Third Activation Mode","Toy Break","BLK","Single enemy","Magical","16.40","Ice, Water, Lightning, NE","0.01","One single attack (16.40) capped at 99999, removes [Third Activation Mode] from the user","Y","Lowest HP% enemy","0","Witch","31540360"
"Awoken Mage's Smile","Recollection Fury","BLK","Single enemy","Magical","14.28","Ice, Water, Lightning, NE","0.01","Six single attacks (2.38 each)","Y","Lowest HP% enemy","0","Witch","31540362"
"Fatherly Respect Follow-Up","Fatherly Respect","PHY","Single enemy","Physical","3.46","Dark, Fire, NE","0.01","One single ranged attack (3.46) capped at 99999, 100% additional critical chance if Tidus is alive","Y","Lowest HP% enemy","0","Sharpshooter","31540408"
"Blue Spear Follow-Up","Blue Spear","PHY","Single enemy","Physical","2.56","Water, NE","0.01","4/8 single ranged attacks (0.32) every 1+2n/2+2n uses, 100% hit rate","Y","Lowest HP% enemy","0","Dragoon","31540409"
"Maester Mode","Dangerous Thoughts","NAT","Single enemy","","","","0.01","Causes [Imperil Dark 10% (15s)], grants [HP Stock (1500)] and [20% Damage Reduction Barrier 1] to the user","N","Lowest HP% enemy","0","Darkness","31540414"
"Awoken High Summoner","Flamebeast Flex","SUM","Single enemy","Magical","14.64","Fire, NE","0.01","Six single attacks (2.44 each), grants [Buff Fire 10% (15s)] to the user every second cast","N","Lowest HP% enemy","0","Summoning","31541021"
"Break Buster Follow-Up","Break Buster","PHY","Single enemy","Physical","2.00","Water, NE","0.01","Four single attacks (0.50 each), 100% hit rate, restores 1000 HP to all allies if Yuna is alive, causes [ATK, DEF, MAG and RES -30% (8s)] if Rikku is alive","Y","Lowest HP% enemy","0","Spellblade","31541214"
"Neophyte Warrior Mode","Hard Tackle","PHY","Single enemy","Physical","1.68","Water, NE","0.01","Six single ranged attacks (0.28/0.32/0.36/0.40/0.44 each) scaling with uses, 100% hit rate","Y","Lowest HP% enemy","0","Sharpshooter","31541225"
"Bushido Edge Mode","Crushing Blaze","NAT","Single enemy","","","","0.01","Causes [Imperil Fire 30% (5s)], removes [Bushido Edge Mode] from the user","N","Lowest HP% enemy","0","Samurai","31541236"
"Awoken Guiding Guardian","Blade of Allegiance","PHY","Single enemy","Physical","4.32","Fire, NE","0.01","Six single attacks (0.72 each), 100% hit rate, 100% additional critical chance if Braska or Jecht are alive, causes [Imperil Fire 10% (15s)] every second cast","Y","Lowest HP% enemy","0","Samurai","31541241"
"Versatile Bomb Follow-Up","Versatile Bomb","PHY","Single enemy","Physical","3.00","Water, NE","0.01","2/4/6 single ranged attacks (0.50 each) if 0-1/2-3/4+ of the target's stats are lowered, grants [Water Ability +15% Boost 1]/[Water Ability +30% Boost 1] if 2/4+ of the target's stats are lowered","Y","Lowest HP% enemy","0","Machinist","31541232"
"Awoken Salvager","Hydro Grenade","PHY","Single enemy","Physical","4.32","Water, NE","0.01","Six single ranged attacks (0.72 each), 100% hit rate","Y","Lowest HP% enemy","0","Machinist","31541238"
"Spirited Guardian Mode","Al Bhed Aid","NAT","Single enemy","","","","0.01","Causes [Imperil Water 10% (15s)]/[Imperil Prismatic 10% (15s)]","N","Lowest HP% enemy","0","Thief","31541239"
"Awoken High Summoner Mode","Crimson Wish","SUM","Single enemy","Magical","?","Fire, NE","0.01","Four single attacks (? each)","N","Lowest HP% enemy","0","Summoning","31520058"
"Dual Awoken Kindred Mode II (Yuna)","Dual Future's Prayer","WHT","All allies","","","","0.01","Restores HP (55), grants [HP Stock (2000)] and [Quick Cast 1]","N","All allies","0","White Magic","31541512"
"Dual Awoken Water Mode II (Paine)","Dual Flood!","NAT","All allies","","","","0.01","Grants [Buff Water 10% (15s)] and [Quick Cast 1]","N","All allies","0","Special","31541619"
"Awoken Water Full Throttle","Marine Sword","PHY","Single enemy","Physical","4.00","Water, NE","0.01","One single attack (4.00) capped at 99999, grants [Quick Cast 1] to all allies","Y","Lowest HP% enemy","0","Spellblade","31541622"
"Aqua Impact","Aqua Impact","PHY","Single enemy","Physical","5.28","Water, NE","0.01","One single ranged jump attack (5.28) capped at 99999, 100% hit rate, grants [Soul Break Gauge +250] to the user","Y","Lowest HP% enemy","0","Dragoon","31541778"
"Awoken Sphere Hunter","White Wisdom (White Magic)","WHT","Single enemy","Magical","15.33","Holy, Wind, NE","0.01","Three single attacks (5.11 each), restores HP (25) to all allies","Y","Lowest HP% enemy","0","White Magic","31541776"
"Awoken Sphere Hunter","White Wisdom (Summoning)","SUM","Single enemy","Magical","14.46","Holy, Wind, NE","0.01","Six single attacks (2.41 each)","N","Lowest HP% enemy","0","Summoning","31541779"
"Chain Force Mode (Tidus)","Water Guidance: Tidus","PHY","Single enemy","Physical","2.05","Water, NE","0.01","One single ranged attack (1.95/2.05) capped at 99999 scaling with uses, grants [Water Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Sharpshooter","31541922"
"Dual Awoken Sharpshooter Mode I (Wakka)","Dual Wither Shot","PHY","Single enemy","Physical","4.08","Water, NE","0.01","Four single ranged attacks (1.02 each), causes [DEF, RES and MND -70% (8s)] and [Imperil Water 10% (5s)]","Y","Lowest HP% enemy","0","Sharpshooter","31541917"
"Abyssal Bite Follow-Up","Abyssal Bite","PHY","Single enemy","Physical","2.24","Dark, NE","0.01","Seven single attacks (0.32 each), damages the user for 15% max HP","Y","Lowest HP% enemy","0","Darkness","30549066"
"Glimpse of Divinity Follow-Up","Glimpse of Divinity","NAT","Single enemy","","","","0.01","Causes [Imperil Holy 10%] for 15 seconds","N","Lowest HP% enemy","0","White Magic","30542165"
"Accomplice Follow-Up","Accomplice","NAT","Single enemy","","","","0.01","Causes [Imperil Water 10% (15s)], grants [Buff Water 10% (15s)] to the user","Y","Lowest HP% enemy","0","Thief","30108001"
"Absorb Mode","Abyssal Sword","PHY","Single enemy","Physical","4.60","Dark, NE","0.01","One single attack (4.60) capped at 99999, multiplier increased by 0.0016 for every SB point, 100% hit rate","Y","Lowest HP% enemy","0","Darkness","30179010"
"Whirling Edge Follow-Up","Whirling Edge","PHY","Single enemy","Physical","2.00","Lightning, Wind, NE","0.01","Five single attacks (0.40 each), 100% hit rate","Y","Lowest HP% enemy","0","Dancer","30549040"
"Blade Drawn","Tachi: Kasha","PHY","Single enemy","Physical","3.35","Ice, Fire, NE","0.01","Five single attacks (0.67 each), 100% additional critical chance, 100% hit rate","Y","Lowest HP% enemy","0","Samurai","31540076"
"Royal Puppeteer Mode","Royal Puppeteer","WHT","All allies","","","","0.01","Restores HP (85), grants [Regenga], removes [Royal Puppeteer Mode] from the user","N","All allies","0","White Magic","31540202"
"EX: Wings of Freedom","Spiral Rush","PHY","Single enemy","Physical","1.17","Wind, NE","0.01","3/4/5/6/7 single attacks (0.39 each) scaling with uses","Y","Lowest HP% enemy","0","Thief","30548136"
"Unexpected Assault Mode","Mantra","PHY","Single enemy","Physical","1.98","Lightning, Ice, NE","0.01","Three single attacks (0.66 each), 100% hit rate, grants [Buff Prismatic 10% (5s)] to all allies","Y","Lowest HP% enemy","0","Monk","31541206"
"Dual Awoken Witch Mode I (Shantotto)","Dual Spark","BLK","Single enemy","Magical","5.64","Lightning, NE","0.01","One single attack (5.64) capped at 99999, grants [Instant Cast 3] to the user","Y","Lowest HP% enemy","0","Witch","31541829"
"Dual Awoken Automaton Mode I (Aphmau)","Dual Activate: Cure","WHT","All allies","","","","0.01","Restores HP (25), grants [HP Stock (2000)]","N","All allies","0","White Magic","31541928"
"Dual Awoken Automaton Mode II (Aphmau)","Dual Imperial Shield","WHT","All allies","","","","0.01","Restores HP (25), grants [Dual Blink 1] and [Quick Cast 1]","N","All allies","0","White Magic","31541929"
"Inundating Pummel Follow-Up","Inundating Pummel","PHY","Single enemy","Physical","2.00","Water, NE","0.01","Four single attacks (0.50 each), 100% hit rate","Y","Lowest HP% enemy","0","Thief","31541945"
"Forest Protector Mode","Guiding Break","BLK","Single enemy","Magical","12.06","Ice, Lightning, Water, Wind, NE","0.01","Three single attacks (4.02 each), grants [Ice/Lightning/Water/Wind Ability +30% Boost 1] to the ally who triggered this ability","Y","Lowest HP% enemy","0","Black Magic","31541942"
"Sweet Tooth Mode","Quick Cast","BLK","Single enemy","Magical","15.68","Ice, Lightning, Water, Wind, NE","0.01","One single attack (15.68) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","31541939"
"Oil Pellet Follow-Up","Oil Pellet","NAT","Single enemy","","","","0.01","Causes [Imperil Fire 10%] for 15 seconds","Y","Lowest HP% enemy","0","Machinist","30549150"
