"ID","Common Name","Effects","Default Duration","MND Modifier","Exclusive Status"
"51555","Awoken Poison","Poison abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Poison abilities","15","-","-"
"51563","Crescent Gale","Grants [Crescent Gale 60% Critical]/[Crescent Gale 70% Critical]/[Crescent Gale 80% Critical]/[Crescent Gale 90% Critical]/[Crescent Gale 100% Critical] to all allies after using 1/2/3/4/5+ Thief abilities","15","-","-"
"516","Roar","ATK and MAG +20%, DEF and RES -20%","20","-","-"
"517","Magic Seal","Disables BLK, WHT, BLU and SUM attacks","-","-","-"
"518","Physical Blink 1","Evades the next PHY attack that deals physical, missing HP or fixed damage or NAT attack that deals physical or fractional damage","-","-","Blink 2, Blink 3"
"519","Physical Blink 2","Evades the next 2 PHY attacks that deal physical, missing HP or fixed damage or NAT attacks that deal physical or fractional damage","-","-","Blink 1, Blink 3"
"520","Physical Blink 3","Evades the next 3 PHY attacks that deal physical, missing HP or fixed damage or NAT attacks that deal physical or fractional damage","-","-","Blink 1, Blink 2"
"521","No Damage","","25","-","-"
"522","Draw Fire","DEF +100%, taunts single-target PHY attacks","-","-","-"
"523","Magical Blink 1","Evades the next non-PHY, non-NIN attack that deals magical, fractional or missing HP damage","-","-","Magical Blink 2"
"524","Doom of Atomos","","-","-","-"
"525","Fury","Affects Wrexsoul's behaviour","-","-","-"
"526","Unyielding Fist","ATK +50%, evades all attacks","30","-","All except KO, Invisible, Defend, Target Ally"
"527","Magic Lure","RES +100%, taunts single-target BLK attacks","-","-","-"
"528","Focus","MAG +20%, RES +50%","-","-","-"
"529","Rage","Forces a specified action, affects targeting, resets ATB when removed","-","-","All ""Retaliate"" status, Green Cherry"
"531","High Runic","Taunts single-target BLK and WHT attacks, absorbs BLK and WHT attacks to restore 1 consumed ability use","25","-","Runic"
"532","Burst Mode","Replaces the Attack and Defend commands, ATK, DEF, MAG, RES, MND, ACC and EVA +20%, SPD +10%","-","-","Brave Mode, Synchro Mode"
"533","Jump Seal","Disables Jump attacks","-","-","-"
"534","Eye Power","DEF and RES +200%, taunts single-target PHY, BLK and WHT attacks","-","-","Blind"
"535","Imperil [Element] X%","[Element] resistance -X%","-","-","-"
"536","Nightmare Evrae Altana","Increases magical damage taken from WHT attacks by 200%, reverses damage taken from the Poison status","-","-","-"
"537","Nightmare Guado Guard","Increases magical damage taken from WHT attacks by 200%","-","-","-"
"538","Airy Shield","Can't be hit by ranged PHY attacks","30","-","-"
"539","Nightmare Neo Bahamut","Increases magical damage taken from SUM attacks by 100%","-","-","-"
"540","Nightmare Tonberry Slow","Increases the chance of being inflicted with Slow by 100","-","-","-"
"541","Nightmare Tonberry Stun","Increases the chance of being inflicted with Stun by 100","-","-","-"
"542","Nightmare Tonberry Stop","Increases the chance of being inflicted with Stop by 100","-","-","-"
"543","Different Fire Resistance +X%","Fire Resistance +X%","-","-","-"
"544","Different Ice Resistance +X%","Ice Resistance +X%","-","-","-"
"545","Different Lightning Resistance +X%","Lightning Resistance +X%","-","-","-"
"546","Different Water Resistance +X%","Water Resistance +X%","-","-","-"
"547","Different Earth Resistance +X%","Earth Resistance +X%","-","-","-"
"548","Different Poison Resistance +X%","Poison Resistance +X%","-","-","-"
"549","Nightmare Wave Cannon 1","Affects Wave Cannon's behaviour","-","-","-"
"550","Nightmare Wave Cannon 2","Affects Wave Cannon's behaviour","-","-","-"
"551","Nightmare Wave Cannon 3","Affects Wave Cannon's behaviour","-","-","-"
"552","Nightmare Necrophobe ATK Doom","","-","-","-"
"553","Nightmare Necrophobe MAG Doom","","-","-","-"
"554","Nightmare Necrophobe DEF Doom","","-","-","-"
"555","Nightmare Necrophobe RES Doom","","-","-","-"
"556","Weapon Chain Counter","Keeps track of the number of uses of Weapon Chain","25","-","-"
"557","Geosgaeno Swallow","","-","-","-"
"558","Damage *X","Multiplies all damage received by X","-","-","-"
"559","Zero Damage","Reduces all damage received to 0","-","-","-"
"560","Flame Cannon Counter","Keeps track of the number of uses of Flame Cannon","25","-","-"
"561","Trine Combo Counter","Keeps track of the number of uses of Trine Combo","25","-","-"
"562","Zero Physical Damage","Reduces physical damage received to 0","-","-","-"
"563","Zero Magical Damage","Reduces magical damage received to 0","-","-","-"
"564","Doom Timer -3","Reduces the character's Doom timer by 3 when set","-","-","-"
"567","Thunderfall Counter","Keeps track of the number of uses of Thunderfall","25","-","-"
"568","Lurking Tiger Counter","Keeps track of the number of uses of Lurking Tiger","25","-","-"
"569","Desperate Madness Counter","Keeps track of the number of uses of Desperate Madness","25","-","-"
"570","Different Wind Resistance +X%","Wind Resistance +X%","-","-","-"
"571","Different Holy Resistance +X%","Holy Resistance +X%","-","-","-"
"572","Different Dark Resistance +X%","Dark Resistance +X%","-","-","-"
"573","Draw & Junction Counter","Keeps track of the number of uses of Draw & Junction, removed if the user hasn't Burst Mode, reset upon refreshing Burst Mode","-","-","-"
"574","High Sentinel","DEF and RES +200%, taunts single-target PHY and BLK attacks","25","-","-"
"575","Armiger Mode","ATK +30%, cast speed x3.00, removed if the user doesn't have any Stoneskin","-","-","-"
"576","EX: Legendary Swordsman","ATK +30%","15","-","-"
"577","High Retaliate","Can't be hit by PHY attacks, counters PHY attacks with an ability (single, 1.20 physical)","15","-","Retaliate"
"578","EX: Magitek","MAG +30%, cast speed x2.00","15","-","-"
"579","EX: Paladin","DEF +100%","15","-","-"
"580","Swift Steel Counter","Keeps track of the number of uses of Swift Steel","25","-","-"
"581","??? Counter","Keeps track of the number of uses of ???","25","-","-"
"582","Hornet's Sting Counter","Keeps track of the number of uses of Hornet's Sting","25","-","-"
"583","EX: Blinding","ATK +30%, grants [High Quick Cast 1] after using a Lightning attack","15","-","-"
"584","Oil Bomb Counter","Keeps track of the number of uses of Oil Bomb, removed if the user hasn't Burst Mode, reset upon refreshing Burst Mode","25","-","-"
"585","Shot & Reload Counter","Keeps track of the number of uses of Shot & Reload","25","-","-"
"587","Ace Follow-Up","Casts Ace Follow-Up after using an ability","15","-","-"
"588","EX: Attack Hand","MAG +30%, cast speed x2.00","15","-","-"
"589","EX: Windborn","ATK +30%, grants [High Quick Cast 1] after using a Wind attack","15","-","-"
"590","EX: SeeD","Casts Shattering Finish after using two Spellblade abilities","15","-","-"
"59001","Guardian Summon Mode","Used to track whether a Guardian Summon is active, removed after duration expires, Guardian Summon's HP is fully depleted or the associated Guardian Summon Finisher ability is triggered","5","-","-"
"59002","Guardian Summon Party Hide","Temporarily removes the party from the battle while Guardian Summon Mode is active, removed if the party hasn't Guardian Summon Mode","-","-","-"
"591","EX: Twinstrike","MAG +30%, dualcasts Witch abilities consuming an extra ability use","15","-","-"
"592","EX: Hellhound","Grants [Quick Cast 1] after using a Fire attack","15","-","-"
"593","Hellhound ATK","ATK +30%","15","-","Hellhound MAG"
"594","Hellhound MAG","MAG +30%","15","-","Hellhound ATK"
"596","Fire Cloak","Affects certain Burst Commands, 50% chance of countering enemy PHY attacks with Fiery Retribution","15","-","-"
"598","Chaotic Moon","Grants [High Quick Cast 1] after using a Water attack, casts Lurking Shadow after using a Ninja ability if the user has any Physical Blink","15","-","-"
"599","EX: Light's Blessing","DEF +100%, Knight abilities deal 5% more damage for each Knight ability used, up to +30%","15","-","-"
"6001","Dark Bargain","ATK +30%, DEF -30%","-","-","-"
"6002","Magic Bargain","MAG +30%, DEF -30%","-","-","-"
"6003","Combat King","ATK, DEF and RES +30%","-","-","-"
"6004","Hailstorm","ATK +30%, RES -30%","-","-","-"
"6005","Bushido","ATK +30%, RES +25%, Critical chance =50%","-","-","-"
"6006","50% Critical","Critical chance =50%","25","-","-"
"6007","Oathsworn Espada","ATK and DEF +30%","25","-","-"
"6008","Twin Star","ATK +30%, MND +15%, Critical chance =50%","-","-","-"
"6009","MAG and DEF -15%","MAG +15%, DEF -15%","-","-","-"
"601","MAG +X%","MAG +X%","-","-","All other ""MAG"""
"601000","MAG +10% (8s)","MAG +10%","8","-","All other ""MAG"""
"601010","MAG +20% (8s)","MAG +20%","8","-","All other ""MAG"""
"601020","MAG +30% (8s)","MAG +30%","8","-","All other ""MAG"""
"601030","MAG +40% (8s)","MAG +40%","8","-","All other ""MAG"""
"601044","MAG +50% (25s)","MAG +50%","25","-","All other ""MAG"""
"6010","MAG and RES -15%","MAG +15%, RES -15%","-","-","-"
"6011","Meikyo Shisui","ATK and RES +30%","25","-","-"
"6012","ATK and DEF -15%","ATK +15%, DEF -15%","-","-","-"
"6013","Intervention","ATK +30%, DEF +50%","-","-","-"
"6014","Lingering Spirit","MAG +30%, RES -30%","-","-","-"
"6015","Desperate Madness","DEF -50%, RES -25%","30","-","-"
"6016","100% Critical","Critical chance =100%","25","-","-"
"6017","MAG +30% and DEF -15%","MAG +30%, DEF -15%","25","-","-"
"6018","Thirsting Blade","ATK +35%, DEF -35%","25","-","-"
"6019","Heartless Angel","ATK +50%, DEF and RES -15%","25","-","-"
"602","MND +X%","MND +X%","-","-","All other ""MND"""
"602000","MND +10% (8s)","MND +10%","8","-","All other ""MND"""
"602010","MND +20% (8s)","MND +20%","8","-","All other ""MND"""
"602020","MND +30% (8s)","MND +30%","8","-","All other ""MND"""
"602030","MND +40% (8s)","MND +40%","8","-","All other ""MND"""
"602121","MND -30% (8s)","MND -30%","8","-","-"
"6020","Stitch in Time","ATK and MAG +30%, DEF -30%","20","-","-"
"6021","Cover Boost","DEF and RES +100%, MND +50%","25","-","-"
"6022","MAG +30% and RES +50%","MAG +30%, RES +50%","25","-","-"
"6023","Aura of Darkness","ATK +30%, MND -30%","25","-","-"
"6024","Iai Bargain","MND +30%, DEF and RES -30%","25","-","-"
"6025","100% Critical 2","Critical chance =100%, lasts for 2 turns","-","-","-"
"6026","Warlord Mode 1","Critical chance =50%","15","-","Warlord Mode 2, Warlord Mode 3"
"6027","Warlord Mode 2","Critical chance =75%","15","-","Warlord Mode 1, Warlord Mode 3"
"6028","Warlord Mode 3","Critical chance =100%","15","-","Warlord Mode 1, Warlord Mode 2"
"6029","75% Critical (25s)","Critical chance =75%","25","-","-"
"603","ATK +X%","ATK +X%","-","-","All other ""ATK"""
"6030","75% Critical 3","Critical chance =75%, lasts for 3 turns","-","-","-"
"603000","ATK +10% (8s)","ATK +10%","8","-","All other ""ATK"""
"603010","ATK +20% (8s)","ATK +20%","8","-","All other ""ATK"""
"603020","ATK +30% (8s)","ATK +30%","8","-","All other ""ATK"""
"603030","ATK +40% (8s)","ATK +40%","8","-","All other ""ATK"""
"603043","ATK +50% (25s)","ATK +50%","25","-","All other ""ATK"""
"6033","75% Critical (15s)","Critical chance =75%","15","-","-"
"6034","100% Critical 1","Critical chance =100%, lasts for 1 turn","-","-","-"
"6035","ATK and MND +50%","ATK and MND +50%","25","-","-"
"6036","50% Critical (15s)","Critical chance =50%","15","-","-"
"6037","100% Critical (15s)","Critical chance =100%","15","-","-"
"6038","ATK, MAG and MND +30%","ATK, MAG and MND +30%","25","-","-"
"6039","DEF -15%, RES -15% and MND +50%","DEF and RES -15%, MND +50%","25","-","-"
"604","DEF +X%","DEF +X%","-","-","All other ""DEF"""
"604000","DEF +10% (8s)","DEF +10%","8","-","All other ""DEF"""
"604010","DEF +20% (8s)","DEF +20%","8","-","All other ""DEF"""
"604020","DEF +30% (8s)","DEF +30%","8","-","All other ""DEF"""
"604030","DEF +40% (8s)","DEF +40%","8","-","All other ""DEF"""
"6040","ATK +30%, DEF and RES -30% (8s)","ATK +30%, DEF and RES -30%","8","-","-"
"6041","MAG +50%, RES -50% (25s)","MAG +50%, RES -50%","25","-","-"
"6042","50% Critical (25s)","Critical chance=50%","25","-","-"
"6043","60% Critical (15s)","Critical chance=60%","15","-","-"
"6044","80% Critical (15s)","Critical chance=80%","15","-","-"
"6045","ATK +30%, DEF +25% (25s)","ATK +30%, DEF +25%","25","-","-"
"6046","100% Critical 3","Critical chance =100%, lasts for 3 turns","-","-","-"
"6047","ATK +30% and DEF -30% (8s)","ATK +30%, DEF -30%","8","-","-"
"6048","100% Critical (25s) Custom Param","Critical chance =100%","25","-","-"
"6049","ATK +30%, DEF -50% (8s)","ATK +30%, DEF -50%","8","-","-"
"604053","DEF +100% (25s)","DEF +100%","25","-","All other ""DEF"""
"604120","DEF -30% (8s)","DEF -30%","8","-","All other ""DEF"""
"604130","DEF -50% (8s)","DEF -50%","8","-","All other ""DEF"""
"605","ATK and ACC +X%","ATK and ACC +X%","-","-","-"
"606","EVA +X%","EVA +X%","-","-","-"
"607","RES +X%","RES +X%","-","-","All other ""RES"""
"607000","RES +10% (8s)","RES +10%","8","-","All other ""RES"""
"607010","RES +20% (8s)","RES +20%","8","-","All other ""RES"""
"607020","RES +30% (8s)","RES +30%","8","-","All other ""RES"""
"607030","RES +40% (8s)","RES +40%","8","-","All other ""RES"""
"607122 ","RES -30%","RES -30%","15","-","All other ""RES"""
"607132","RES -50%","RES -50%","15","-","All other ""RES"""
"608","DEF and RES +X%","DEF and RES +X%","-","-","All other ""DEF and RES"""
"608001","DEF and RES +200% (25s)","DEF and RES +200%","25","-","All other ""DEF and RES"""
"608131","DEF and RES -50% (8s)","DEF and RES -50%","8","-","All other ""DEF and RES"""
"609","ATK, DEF, MAG and RES +X%","ATK, DEF, MAG and RES +X%","-","-","All other ""ATK, DEF, MAG and RES"""
"609011","ATK, DEF, MAG and RES +15% (8s)","ATK, DEF, MAG and RES +15%","8","-","All other ""ATK, DEF, MAG and RES"""
"609020","ATK, DEF, MAG and RES +30% (8s)","ATK, DEF, MAG and RES +30%","8","-","All other ""ATK, DEF, MAG and RES"""
"609023","ATK, DEF, MAG and RES +30% (25s)","ATK, DEF, MAG and RES +30%","25","-","All other ""ATK, DEF, MAG and RES"""
"609121","ATK, DEF, MAG and RES -50% (10s)","ATK, DEF, MAG and RES -50%","10","-","All other ""ATK, DEF, MAG and RES"""
"609123","ATK, DEF, MAG and RES -50% (25s)","ATK, DEF, MAG and RES -50%","25","-","All other ""ATK, DEF, MAG and RES"""
"609143","ATK, DEF, MAG and RES -40% (25s)","ATK, DEF, MAG and RES -40%","25","-","All other ""ATK, DEF, MAG and RES"""
"610","ATK and MAG +X%","ATK and MAG +X%","-","-","All other ""ATK and MAG"""
"610023","ATK and MAG +30% (25s)","ATK and MAG +30%","25","-","All other ""ATK and MAG"""
"610031","ATK and MAG +50% (8s)","ATK and MAG +50%","8","-","All other ""ATK and MAG"""
"610131","ATK and MAG -50% (8s)","ATK and MAG -50%","8","-","All other ""ATK and MAG"""
"611","ATK and DEF +X%","ATK and DEF +X%","-","-","All other ""ATK and DEF"""
"611020","ATK and DEF +30% (8s)","ATK and DEF +30%","8","-","All other ""ATK and DEF"""
"611130","ATK and DEF +30% (25s)","ATK and DEF +30%","25","-","All other ""ATK and DEF"""
"611131","ATK and DEF -50% (8s)","ATK and DEF -50%","8","-","All other ""ATK and DEF"""
"611132","ATK and DEF -50% (15s)","ATK and DEF -50%","15","-","All other ""ATK and DEF"""
"611133","ATK and DEF +50% (25s)","ATK and DEF +50%","25","-","All other ""ATK and DEF"""
"612","ATK, DEF, MAG, RES, MND, ACC and SPD +X%","ATK, DEF, MAG, RES, MND, ACC and SPD +X%","-","-","-"
"613","SPD +X%","SPD +X%","-","-","-"
"614","Critical Chance X%","Critical chance =X%","-","-","-"
"614017","10% Critical (10s)","Critical chance =10%","10","-","-"
"614018","20% Critical (10s)","Critical chance =20%","10","-","-"
"614019","30% Critical (10s)","Critical chance =30%","10","-","-"
"614020","40% Critical (10s)","Critical chance =40%","10","-","-"
"614021","50% Critical (10s)","Critical chance =50%","10","-","-"
"614022","60% Critical (15s)","Critical chance =60%","15","-","-"
"614023","70% Critical (15s)","Critical chance =70%","15","-","-"
"614024","75% Critical (15s)","Critical chance =75%","15","-","-"
"614025","80% Critical (15s)","Critical chance =80%","15","-","-"
"614026","90% Critical (15s)","Critical chance =90%","15","-","-"
"614027","100% Critical (15s)","Critical chance =100%","15","-","-"
"614028","15% Critical (25s)","Critical chance =15%","25","-","-"
"614029","25% Critical (25s)","Critical chance =25%","25","-","-"
"614030","50% Critical (25s)","Critical chance =50%","25","-","-"
"614031","75% Critical (25s)","Critical chance =75%","25","-","-"
"614032","100% Critical (25s)","Critical chance =100%","25","-","-"
"615","Special ATK +X%","ATK +X% (ignoring the buff stacking caps)","-","-","-"
"616","Special MAG +X%","MAG +X% (ignoring the buff stacking caps)","-","-","-"
"617","Special DEF +X%","DEF +X% (ignoring the buff stacking caps)","-","-","-"
"618","Special RES +X%","RES +X% (ignoring the buff stacking caps)","-","-","-"
"619","Different DEF and RES +X%","DEF and RES +X%","-","-","-"
"620","DEF and MAG +X%","DEF and MAG +X%","-","-","All other ""DEF and MAG"""
"620023","DEF and MAG +30% (25s)","DEF and MAG +30%","25","-","All other ""DEF and MAG"""
"620033","DEF and MAG +50% (25s)","DEF and MAG +50%","25","-","All other ""DEF and MAG"""
"621","ATK and RES +X%","ATK and RES +X%","-","-","-"
"622","MAG and RES +X%","MAG and RES +X%","-","-","All other ""MAG and RES"""
"622020","MAG and RES +30% (8s)","MAG and RES +30%","8","-","All other ""MAG and RES"""
"622023","MAG and RES +30% (25s)","MAG and RES +30%","25","-","All other ""MAG and RES"""
"622131","MAG and RES -50% (8s)","MAG and RES -50%","8","-","All other ""MAG and RES"""
"622132","MAG and RES -50% (15s)","MAG and RES -50%","15","-","All other ""MAG and RES"""
"623","MAG and MND +X%","MAG and MND +X%","-","-","All other ""MAG and MND"""
"623023","MAG and MND +30% (25s)","MAG and MND +30%","25","-","All other ""MAG and MND"""
"623032","MAG and MND +50% (25s)","MAG and MND +50%","25","-","All other ""MAG and MND"""
"624","ATK, DEF and MND +X%","ATK, DEF and MND +X%","-","-","-"
"625","Status Chance +X%","Increases the chance of inflicting Status by X%","-","-","-"
"626","Special Timer ATK +X%","ATK +X% (ignoring the buff stacking caps)","-","-","-"
"627","Special Timer MAG +X%","MAG +X% (ignoring the buff stacking caps)","-","-","-"
"628","Special Timer DEF +X%","DEF +X% (ignoring the buff stacking caps)","-","-","-"
"629","Special Timer RES +X%","RES +X% (ignoring the buff stacking caps)","-","-","-"
"630","ATK, DEF, MAG, RES and MND +X%","ATK, DEF, MAG, RES and MND +X%","-","-","All other ""ATK, DEF, MAG, RES and MND"""
"630003","ATK, DEF, MAG, RES and MND +10% (25s)","ATK, DEF, MAG, RES and MND +10%","25","-","All other ""ATK, DEF, MAG, RES and MND"""
"630013","ATK, DEF, MAG, RES and MND +20% (25s)","ATK, DEF, MAG, RES and MND +20%","25","-","All other ""ATK, DEF, MAG, RES and MND"""
"630023","ATK, DEF, MAG, RES and MND +30% (25s)","ATK, DEF, MAG, RES and MND +30%","25","-","All other ""ATK, DEF, MAG, RES and MND"""
"630033","ATK, DEF, MAG, RES and MND +40% (25s)","ATK, DEF, MAG, RES and MND +40%","25","-","All other ""ATK, DEF, MAG, RES and MND"""
"630043","ATK, DEF, MAG, RES and MND +50% (25s)","ATK, DEF, MAG, RES and MND +50%","25","-","All other ""ATK, DEF, MAG, RES and MND"""
"630122","ATK, DEF, MAG, RES and MND -30% (15s)","ATK, DEF, MAG, RES and MND -30%","15","-","All other ""ATK, DEF, MAG, RES and MND"""
"630131","ATK, DEF, MAG, RES and MND -50% (8s)","ATK, DEF, MAG, RES and MND -50%","8","-","All other ""ATK, DEF, MAG, RES and MND"""
"630132","ATK, DEF, MAG, RES and MND -50% (15s)","ATK, DEF, MAG, RES and MND -50%","15","-","All other ""ATK, DEF, MAG, RES and MND"""
"630133","ATK, DEF, MAG, RES and MND -50% (25s)","ATK, DEF, MAG, RES and MND -50%","25","-","All other ""ATK, DEF, MAG, RES and MND"""
"631","RES and MND +X%","RES and MND +X%","-","-","-"
"632","ATK and MND +X%","ATK and MND +X%","-","-","-"
"633","ATK, DEF and MAG +X%","ATK, DEF and MAG +X%","-","-","All other ""ATK, DEF and MAG"""
"633023","ATK, DEF and MAG +30% (25s)","ATK, DEF and MAG +30%","25","-","All other ""ATK, DEF and MAG"""
"633130","ATK, DEF and MAG -70% (8s)","ATK, DEF and MAG -70%","8","-","All other ""ATK, DEF and MAG"""
"634","ATK, MAG and RES +X%","ATK, MAG and RES +X%","-","-","All other ""ATK, MAG and RES"""
"634023","ATK, MAG and RES +30% (25s)","ATK, MAG and RES +30%","25","-","All other ""ATK, MAG and RES"""
"635","Crushed DEF and RES +X%","DEF and RES +X%","-","-","-"
"636","Swift Steel +X%","ATK +X%","-","-","-"
"637","ATK, DEF and RES +X%","ATK, DEF and RES +X%","-","-","All other ""ATK, DEF and RES"""
"637031","ATK, DEF and RES +50% (8s)","ATK, DEF and RES +50%","8","-","All other ""ATK, DEF and RES"""
"638","ATK, MAG and MND +X%","ATK, MAG and MND +X%","-","-","All other ""ATK, MAG and MND"""
"638023","ATK, MAG and MND +30% (25s)","ATK, MAG and MND +30%","25","-","All other ""ATK, MAG and MND"""
"639","Hymn ATK +X%","ATK +X%","10","-","-"
"640","Hymn MAG +X%","MAG +X%","10","-","-"
"641","Madness +X%","MAG +X%","-","-","-"
"642","MAG, RES and MND +X%","MAG, RES and MND +X%","25","-","All other ""MAG, RES and MND"""
"642023","MAG, RES and MND +30% (25s)","MAG, RES and MND +30%","25","-","All other ""MAG, RES and MND"""
"643","DEF, MAG and RES +X%","DEF, MAG and RES +X%","-","-","-"
"644","Hymn MND +X%","MND +X%","10","-","-"
"645","Covering Fire +X%","ATK, DEF, MAG and RES +X%","25","-","-"
"646","DEF, RES and MND +X%","DEF, RES and MND +X%","-","-","All other ""DEF, RES and MND"""
"646033","DEF, RES and MND +50% (25s)","DEF, RES and MND +50%","25","-","All other ""DEF, RES and MND"""
"646121","DEF, RES and MND -30% (8s)","DEF, RES and MND -30%","8","-","All other ""DEF, RES and MND"""
"646131","DEF, RES and MND -50% (8s)","DEF, RES and MND -50%","8","-","All other ""DEF, RES and MND"""
"646141","DEF, RES and MND -70% (8s)","DEF, RES and MND -70%","8","-","All other ""DEF, RES and MND"""
"647","DEF and MND +X%","DEF and MND +X%","-","-","-"
"648","ATK, RES and MND +X%","ATK, RES and MND +X%","-","-","-"
"649","DEF, MAG and MND +X%","DEF, MAG and MND +X%","-","-","-"
"650","ATK, DEF, MAG and MND +X%","ATK, DEF, MAG and MND +X%","-","-","-"
"651","ATK, DEF, RES and MND +X%","ATK, DEF, RES and MND +X%","-","-","-"
"652","ATK, MAG, RES and MND +X%","ATK, MAG, RES and MND +X%","-","-","-"
"653","DEF, MAG, RES and MND +X%","DEF, MAG, RES and MND +X%","-","-","-"
"654044","War Dance ATK and MAG +5%","ATK and MAG +5%","10","-","All ""War Dance ATK and MAG +X%"""
"654054","War Dance ATK and MAG +10%","ATK and MAG +10%","10","-","All ""War Dance ATK and MAG +X%"""
"654064","War Dance ATK and MAG +20%","ATK and MAG +20%","10","-","All ""War Dance ATK and MAG +X%"""
"654074","War Dance ATK and MAG +30%","ATK and MAG +30%","10","-","All ""War Dance ATK and MAG +X%"""
"654045","Hymn of Healing ATK and MAG +5%","ATK and MAG +5%","10","-","All ""Hymn of Healing ATK and MAG +X%"""
"654046","Struggle Mode ATK and MAG +5%","ATK and MAG +5%","10","-","All ""Struggle Mode ATK and MAG +X%"""
"654055","Hymn of Healing ATK and MAG +10%","ATK and MAG +10%","10","-","All ""Hymn of Healing ATK and MAG +X%"""
"654046","Struggle Mode ATK and MAG +10%","ATK and MAG +10%","10","-","All ""Struggle Mode ATK and MAG +X%"""
"654065","Hymn of Healing ATK and MAG +20%","ATK and MAG +20%","10","-","All ""Hymn of Healing ATK and MAG +X%"""
"654066","Struggle Mode ATK and MAG +20%","ATK and MAG +20%","10","-","All ""Struggle Mode ATK and MAG +X%"""
"654075","Hymn of Healing ATK and MAG +30%","ATK and MAG +30%","10","-","All ""Hymn of Healing ATK and MAG +X%"""
"654076","Struggle Mode ATK and MAG +30%","ATK and MAG +30%","10","-","All ""Struggle Mode ATK and MAG +X%"""
"601045","Warrior Dancer MAG +5%","MAG +5%","10","-","All ""Warrior Dancer MAG +X%"""
"601055","Warrior Dancer MAG +10%","MAG +10%","10","-","All ""Warrior Dancer MAG +X%"""
"601065","Warrior Dancer MAG +20%","MAG +20%","10","-","All ""Warrior Dancer MAG +X%"""
"601075","Warrior Dancer MAG +30%","MAG +30%","10","-","All ""Warrior Dancer MAG +X%"""
"7000","Attach Element","Current attached element's info (element and level)","25","-","-"
"7001","Max Attach Element Level","Current attached element's max level","25","-","-"
"701","Invincible","Can't be hit by any attack","-","-","-"
"702","Avoid Physical","Can't be hit by PHY attacks","-","-","-"
"703","Avoid Magical","Can't be hit by BLK, WHT, BLU or SUM attacks","-","-","-"
"704","Faraway","Can't be hit by non-ranged PHY attacks","-","-","-"
"705","Avoid Basic Magic","Can't be hit by BLK or WHT attacks","-","-","-"
"7100","Detach Fire","Decrease Attach Fire Level by 1","25","-","-"
"7110","Detach Ice","Decrease Attach Ice Level by 1","25","-","-"
"7120","Detach Lightning","Decrease Attach Lightning Level by 1","25","-","-"
"7130","Detach Earth","Decrease Attach Earth Level by 1","25","-","-"
"7140","Detach Wind","Decrease Attach Wind Level by 1","25","-","-"
"7150","Detach Water","Decrease Attach Water Level by 1","25","-","-"
"7160","Detach Holy","Decrease Attach Holy Level by 1","25","-","-"
"7170","Detach Dark","Decrease Attach Dark Level by 1","25","-","-"
"7180","Detach Poison","Decrease Attach Poison Level by 1","25","-","-"
"7190","Detach Element","Decrease any attached element's level by 1","25","-","-"
"7200","Attach Fire with Stacking","Increase Attach Fire Level by 1 and increase Max Attach Element Level by 2, up to Attach Fire 3","25","-","All other ""Attach X"" statuses"
"7201","Attach Fire 3 with Stacking","Increase Attach Fire Level by 3 and increase Max Attach Element Level by 2, up to Attach Fire 3","25","-","All other ""Attach X"" statuses"
"7202","Attach Fire 2 with Stacking","Increase Attach Fire Level by 2 and increase Max Attach Element Level by 2, up to Attach Fire 3","25","-","All other ""Attach X"" statuses"
"7210","Attach Ice with Stacking","Increase Attach Ice Level by 1 and increase Max Attach Element Level by 2, up to Attach Ice 3","25","-","All other ""Attach X"" statuses"
"7211","Attach Ice 3 with Stacking","Increase Attach Ice Level by 3 and increase Max Attach Element Level by 2, up to Attach Ice 3","25","-","All other ""Attach X"" statuses"
"7212","Attach Ice 2 with Stacking","Increase Attach Ice Level by 2 and increase Max Attach Element Level by 2, up to Attach Ice 3","25","-","All other ""Attach X"" statuses"
"7220","Attach Lightning with Stacking","Increase Attach Lightning Level by 1 and increase Max Attach Element Level by 2, up to Attach Lightning 3","25","-","All other ""Attach X"" statuses"
"7221","Attach Lightning 3 with Stacking","Increase Attach Lightning Level by 3 and increase Max Attach Element Level by 2, up to Attach Lightning 3","25","-","All other ""Attach X"" statuses"
"7222","Attach Lightning 2 with Stacking","Increase Attach Lightning Level by 2 and increase Max Attach Element Level by 2, up to Attach Lightning 3","25","-","All other ""Attach X"" statuses"
"7230","Attach Earth with Stacking","Increase Attach Earth Level by 1 and increase Max Attach Element Level by 2, up to Attach Earth 3","25","-","All other ""Attach X"" statuses"
"7231","Attach Earth 3 with Stacking","Increase Attach Earth Level by 3 and increase Max Attach Element Level by 2, up to Attach Earth 3","25","-","All other ""Attach X"" statuses"
"7232","Attach Earth 2 with Stacking","Increase Attach Earth Level by 2 and increase Max Attach Element Level by 2, up to Attach Earth 3","25","-","All other ""Attach X"" statuses"
"7240","Attach Wind with Stacking","Increase Attach Wind Level by 1 and increase Max Attach Element Level by 2, up to Attach Wind 3","25","-","All other ""Attach X"" statuses"
"7241","Attach Wind 3 with Stacking","Increase Attach Wind Level by 3 and increase Max Attach Element Level by 2, up to Attach Wind 3","25","-","All other ""Attach X"" statuses"
